1,OPD Minor Procedure,,,,,,,,,,,
,List of OPD Minor Procedures covered,,,,,,,,,,,
,a. Drainage of abscess ,,,,,,,,,,,
,b. Injection including Intramuscular (Per Injection cost) ,,,,,,,,,,,
,c. Intravenous injection ,,,,,,,,,,,
,d. Sprain Management (Joint movement/exercise) ,,,,,,,,,,,
,e. Otoscopic examination (Magnifying otoscopy) ,,,,,,,,,,,
,f. Nasal packing for control of haemorrhage ,,,,,,,,,,,
,g. Nebulizer therapy ,,,,,,,,,,,
,h. Removal of foreign body ,,,,,,,,,,,
,i. Suturing(Staple under LA) ,,,,,,,,,,,
,j. Removal of suture ,,,,,,,,,,,
,k. Stabilization of joint ,,,,,,,,,,,
,l. Syringing ear to remove wax ,,,,,,,,,,,
,m. Application or removal of plaster cast ,,,,,,,,,,,
,n. Laryngoscopy ,,,,,,,,,,,
,o. Minor wound management ,,,,,,,,,,,
,p. Any other procedure certified by Medical Practitioner as Minor procedures,,,,,,,,,,,
,Note: Selection of any one or more from the below list is available ,,,,,,,,,,,
,,,,,,,,,,,,
2,Dental Treatment,,,,,,,,,,,
,List of Dental Procedures covered,,,,,,,,,,,
,"a. Dental Examination
",,,,,,,,,,,
,"b. Scaling and Polishing
",,,,,,,,,,,
,"c. X ray
",,,,,,,,,,,
,"d. Fluoride treatment
",,,,,,,,,,,
,"e. Filling / Prophylaxis
",,,,,,,,,,,
,"f. Root Canal Treatment
",,,,,,,,,,,
,"g. Extractions
",,,,,,,,,,,
,"h. Oral Surgery
",,,,,,,,,,,
,"i. Re cementation
",,,,,,,,,,,
,"j. Medication
",,,,,,,,,,,
,"k. Restoration
",,,,,,,,,,,
,"l. Crowning
",,,,,,,,,,,
,"m. Implant
",,,,,,,,,,,
,"n. Braces
",,,,,,,,,,,
,"o. Any other procedures apart from the list mentioned above certified by
Medical Practitioner",,,,,,,,,,,
,"Note: Selection of any one or more from the below list is available
",,,,,,,,,,,
,,,,,,,,,,,,
3,Psychiatric Treatment ,,,,,,,,,,,
,List of Psychiatric Treatment Procedures covered,,,,,,,,,,,
,a. Severe Depression ,,,,,,,,,,,
,b. Schizophrenia ,,,,,,,,,,,
,c. Bipolar Disorder ,,,,,,,,,,,
,d. Post-Traumatic Stress Disorder ,,,,,,,,,,,
,e. Eating Disorder ,,,,,,,,,,,
,f. Generalized Anxiety Disorder ,,,,,,,,,,,
,g. Obsessive Compulsive Disorder ,,,,,,,,,,,
,h. Panic Disorder ,,,,,,,,,,,
,i. Personality Disorders ,,,,,,,,,,,
,j. Conversion Disorders ,,,,,,,,,,,
,k. Dissociative Disorders ,,,,,,,,,,,
,l. Any other conditions apart from the list mentioned above certified by Medical Practitioner,,,,,,,,,,,
,"Note: Selection of any one or more from the below list is available OPD expenses incurred on consultation, diagnostic and pharmacy for any listed Disorder/condition ",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
4,List of major illnesses,,,,,,,,,,,
,1 Cancer Of Specified Severity,,,,,,,,,,,
,2 Myocardial Infarction (First Heart Attack – Of Specific Severity),,,,,,,,,,,
,3 Open Chest Cabg,,,,,,,,,,,
,4 Open Heart Replacement Or Repair Of Heart Valves,,,,,,,,,,,
,5 Kidney Failure Requiring Regular Dialysis,,,,,,,,,,,
,6 Stroke Resulting In Permanent Symptoms,,,,,,,,,,,
,7 Major Organ / Bone Marrow Transplant,,,,,,,,,,,
,8 Permanent Paralysis Of Limbs,,,,,,,,,,,
,9 Multiple Sclerosis With Persisting Symptoms,,,,,,,,,,,
,10 Coma Of Specified Severity,,,,,,,,,,,
,11 Motor Neuron Disease With Permanent Symptoms,,,,,,,,,,,
,12 Loss Of Vision (Blindness),,,,,,,,,,,
,13 Major Burns,,,,,,,,,,,
,14 Parkinson’S Disease,,,,,,,,,,,
,15 Benign Brain Tumor,,,,,,,,,,,
, 16 Alzheimer’S Disease,,,,,,,,,,,
,17 Aorta Graft Surgery,,,,,,,,,,,
,18 Loss Of Hearing (Deafness),,,,,,,,,,,
