Section 2 : Critical Illness,,,,,,
S.No,Name of Benefit,Coverage,Min Sum Insured,Max Sum Insured,Payout,Change from last TCS signed version
1,"Critical Illness Cover
Refer Annexure 1",Opted Sum Insured ,"INR 5,000","INR 25,00,00,000",Fixed ,No Change
,No of CI Covered ,9 / 11/ 15/ 25 /35 / 36 / 101,,,,No Change
,Survival Period ,7 days/ 15 days/ 30 days/ 45 days/ 60 days/ Waived,,,,No Change
,Initial Waiting period ,0/15/30/45/60/90 days,,,,No Change
,Waiting period on PED,0 /9 months/1 yr /2 yr /3 yr,,,,No Change
2,Loss of Job Cover due to Critical Illnesses,"
Payout Period : Up to 12 Months. 

Coverage options - 
1. Up to 5L per month
2. Equal to Salary . Max 5L per month 
3. Any Combination of the above. ",INR 1000,"INR 5,00,000",Fixed ,No change in benefit. Only change in SI and limits
3,Second E-opinion,Available ,NA,NA,Service ,New Addition
4,Education Fund for Children Cover,Available,"INR 5,000","INR 25,00,000",Fixed,New Addition
5,Marriage Fund for Children Cover,Available,"INR 5,000","INR 25,00,000",Fixed,New Addition
6,Rehabilitation/ Counseling expense Protect,Available,"INR 1,000","INR 5,00,000",Indemnity ,New Addition
