Section 1 : Personal Accident,,,,,,,
1.1 Personal Accident,,,,,,,
S.No,Name of Benefit NEW,Trigger,"Details of Coverage
", Min Sum Insured,Max Sum Insured,Payout,Change from last TCS signed version
1,Accidental Death (AD),Accident,100% of opted Sum Insured,"INR 1,000","
INR 25,00,00,000 
",Fixed,No Change
2,Permanent Total Disablement (PTD),Accident,100% of opted Sum Insured ,INR 1000,"INR 25,00,00,000",Fixed ,No Change
3,Permanent Partial Disablement (PPD),Accident,Upto 100% of opted Sum Insured,INR 1000,"INR 25,00,00,000",Fixed,No Change
4,"Capital Sum Insured (AD / PTD / PPD)
(This benefit can not be opted with benefit no. 1, 2, 3)",Accident,"Option 1: Accidental Death (AD) +  Permanent Total Disablement (PTD) + Permanent Partial Disablement (PPD)

Option 2: Accidental Death (AD) +  Permanent Total Disablement (PTD) 

Option 3: Accidental Death (AD) + Permanent Partial Disablement (PPD)

Option 4: Permanent Total Disability (PTD) + Permanent Partial Disablement (PPD)","INR 1,000","INR 25,00,00,000 ",Fixed,"No Change in SI
Cover Option Change"
5,Temporary Total Disablement (TTD) ,Accident,"1.a. Rs 100 to Rs 5,00,000 per week,max up to 104 weeks ,
b.  0.5% to 5% of PA sum insured , max up to Rs 1000 to 5,00,000 per week  Or 
Actual Weekly income which ever is lower 
Max up to 104 weeks
","Value for Option 1: INR 100 per week

Value for Option 2: 0.5%

","Value for Option 1: 5,00,000 per week

Value for Option 2: 5% max upto INR 5,00,000 per week

",Fixed ,"Value Change from 1% to 0.5%
Deductible option from the cover is removed"
6,Burns Cover (Basis the level of Burns),Accident,"Opted Sum Insured 
","Option 1: INR 5,000
Option 2: 0.5% of Capital Sum Insured
Option 3:  0.5% of maximum of Accidental Death Cover / Permanent Total Disability Cover / Permanent Partial Disability Cover Sum Insured","Option 1: INR 50,00,000
Option 2: 100% of Capital Sum Insured
Option 3:  100% of maximum of Accidental Death Cover / Permanent Total Disability Cover / Permanent Partial Disability Cover Sum Insured",Fixed,"No Change
Cover option 2 & 3 added"
7,Factures Cover(Basis the Type of Fractures),Accident,"Opted Sum Insured 
","Option 1: INR 5,000
Option 2: 0.5% of Capital Sum Insured
Option 3:  0.5% of maximum of Accidental Death Cover / Permanent Total Disability Cover / Permanent Partial Disability Cover Sum Insured","Option 1: INR 50,00,000
Option 2: 100% of Capital Sum Insured
Option 3:  100% of maximum of Accidental Death Cover / Permanent Total Disability Cover / Permanent Partial Disability Cover Sum Insured",Fixed,"No Change
Cover option 2 & 3 added"
8,Funeral Expenses Cover,Accidental Death,Opted Sum Insured ,"INR 5,000","INR 1,00,000",Fixed,No Change
9,Animal Attack Cover,Accident,Fixed Benefit (as per selected limit in case of Death / PTD/ PPD),INR 500,"INR 1,00,00,000",Fixed,New Addition
10,Child Education Cover,AD / PTD,"Opted Sum Insured 
","Option 1: INR 5,000
Option 2: 0.5% of Capital Sum Insured
Option 3:  0.5% of maximum of Accidental Death Cover / Permanent Total Disability Cover / Permanent Partial Disability Cover Sum Insured","Option 1: INR 50,00,000
Option 2: 100% of Capital Sum Insured
Option 3:  100% of maximum of Accidental Death Cover / Permanent Total Disability Cover / Permanent Partial Disability Cover Sum Insured",Fixed,No Change
11,Marriage allowance,AD / PTD,"Opted Sum Insured 
","Option 1: INR 5,000
Option 2: 0.5% of Capital Sum Insured
Option 3:  0.5% of maximum of Accidental Death Cover / Permanent Total Disability Cover / Permanent Partial Disability Cover Sum Insured","Option 1: INR 50,00,000
Option 2: 100% of Capital Sum Insured
Option 3:  100% of maximum of Accidental Death Cover / Permanent Total Disability Cover / Permanent Partial Disability Cover Sum Insured",Fixed,No Change
12,Home Modification Cover,Accident,Opted Sum Insured ,"Option 1: INR 5,000
Option 2: 0.5% of PTD /PPD S.I.","Option 1: INR 50,00,000
Option 2: 100% of PTD /PPD S.I.",Fixed,No Change
13,Vehicle Modification Cover,Accident,Opted Sum Insured ,"Option 1: INR 5,000
Option 2: 0.5% of PTD /PPD S.I.","Option 1: INR 50,00,000
Option 2: 100% of PTD /PPD S.I.",Fixed,No Change
14,Mobility extension Cover,Accident,Opted Sum Insured ,"Option 1: INR 5,000
Option 2: 0.5% of PTD /PPD S.I.","Option 1: INR 25,00,000
Option 2: 100% of PTD /PPD S.I.",Fixed,No Change
15,Disappearance Cover,AD,Opted Sum Insured ,up to AD S.I.,up to AD S.I.,Fixed,No Change
16,Coma Cover,Accident,Opted Sum Insured ,"Option 1: INR 5,000
Option 2: 0.5% of Capital Sum Insured
Option 3:  0.5% of maximum of Accidental Death Cover / Permanent Total Disability Cover / Permanent Partial Disability Cover Sum Insured","Option 1: INR 100,00,000
Option 2: 100% of Capital Sum Insured
Option 3:  100% of maximum of Accidental Death Cover / Permanent Total Disability Cover / Permanent Partial Disability Cover Sum Insured",Fixed,"No Change
Option 2 & 3 added"
17,Loan Shield Cover,AD / PTD,"Options :
a. S.I. Limit Selected
b. Principal amount outstanding max. upto limit selected","INR 1,000","INR 25,00,00,000",Fixed,No Change
18,Repatriation of Mortal Remains Cover,Accidental Death,Opted Sum Insured ,"INR 2,000","INR 10,00,000",Fixed ,No Change
