101 list of CI,
Sl no,Name of CI
1,Major Cancer
2,Kidney Failure requiring regular dialysis
3,Major organ/Bone Marrow Transplant
4,Open Heart Replacement/Repair of Heart Valves
5,Open Chest Coronary Artery Bypass Graft
6,Open Chest Coronary Artery Bypass Graft
7,Myocardial Infraction (First Heart attack of specified severity)
8,Refractory heart failure
9,Cardiomyopathy
10,Stroke resulting in permanent symptoms
11,Permanent Paralysis of Limbs
12,Parkinson’s disease
13,Primary (Idiopathic) Pulmonary Hypertension
14,End Stage Lung Failure
15,Rabies
16,End Stage Liver Failure
17,Angioplasty
18,Chronic Aplastic Anemia
19,Cerebral Aneurysm with Specified Surgery
20,Hemiplegia
21,Chronic Relapsing Pancreatitis
22,Infective Endocarditis
23,Pericardectomy
24,Percutaneous Heart Valve Replacement
25,Pneumonectomy
26,Bariatric Surgery
27,Percutaneous Transluminal Angioplasty of Renal Artery
28,Severe Progressive Supranuclear Palsy
29,Surgical Removal of One Kidney
30,Total Glossectomy
31,Budd–Chiari syndrome
32,Carotid Angioplasty
33,Polycystic Kidney Disease
34,Primary Biliary Cirhosis
35,Cardiac Rupture
36,Total Laryngectomy
37,Cerebral Artery Bypass Surgery
38,Pulmonary Thromboembolism
39,Carotid endarterectomy Surgery
40,Spinal Surgery in case of Trauma
41,Multiple Sclerosis with Persisting Symptoms
42,Motor Neuron Disease with Permanent Symptoms
43,Alzheimer’s disease
44,Benign brain tumor
45,Major Head Trauma
46,Apallic syndrome
47,Deafness
48,Loss of speech
49,Loss of limbs
50,Loss of independent existence
51,Blindness
52,Third Degree Burns
53,Coma of Specified Severity
54,Chronic Rheumatoid Arthritis
55,Pheochromocytoma
56,Eisenmenger's Syndrome
57,Chronic Adrenal Insufficiency 
58,Cardiac Pacemaker insertion
59,Surgical removal of an eyeball
60,Wilson's disease
61,Guillain Barre Syndrome (GBS)
62,Age Related Macular Degeneration
63,Surgery for removal of Acoustic Neuroma
64,Major Brain Surgery
65,Complete Splenectomy
66,Whipple procedure
67,Loss of sight of one eye and loss of one limb
68,HIV due to blood transfusion and occupationally acquired HIV
69,Embolization of aquired AV fistula
70,Myoxomas
71,Diabetes Insipidus
72,Full dental reconstruction due to accident
73,Keyhole Craniotomy
74,Terminal Illness
75,Creutzfeldt-Jakob disease
76,Progressive Scleroderma
77,Medullary Cystic Disease
78,Muscular dystrophy
79,Poliomyelitis
80,Systemic lupus erythematosus with renal involvement
81,Myasthenia gravis
82,Good pastures syndrome with lung or renal involvement
83,Aorta Graft surgery
84,Bacterial Meningitis
85,Encephalitis
86,Fulminant Viral Hepatitis
87,Crohn’s Disease
88,Ulcerative Colitis
89,Autoimmune Hepatitis
90,Total Pancreatectomy
91,Tuberculosis Meningitis
92,Dissecting Aortic aneurysm
93,Elephantiasis
94,Myelofibrosis
95,Cystic Fibrosis
96,Total proctocolectomy
97,Toxic epidermal necrolysis (TEN)
98,Chronic PAN (Polyarteritis Nodosa)
99,Adult Polymyositis
100,Giant Cell Arteritis
101,Multiple System Atrophy
,
,
,
,
,
,
,
,
,
,
,
,
