List of CI [Flexible],,,,,,,,,,,,,,,,,,,,,,,
Plan 1,Plan2,Plan 3,Plan 4,Plan 5,,,,,,,,,,,,,,,,,,,
1 CI(Unique),4 CI(Unique),16 CI(Unique),32 CI(Unique),48 CI(Unique),,,,,,,,,,,,,,,,,,,
Major Cancer,Kidney Failure requiring regular dialysis,Open Chest Coronary Artery Bypass Graft,Infective Endocarditis,Chronic Rheumatoid Arthritis,,,,,,,,,,,,,,,,,,,
,Major organ/Bone Marrow Transplant,Myocardial Infraction (First Heart attack of specified severity),Pericardectomy,Pheochromocytoma,,,,,,,,,,,,,,,,,,,
,Open Heart Replacement/Repair of Heart Valves,Refractory heart failure,Percutaneous Heart Valve Replacement,Eisenmenger's Syndrome,,,,,,,,,,,,,,,,,,,
,Open Chest Coronary Artery Bypass Graft,Cardiomyopathy,Pneumonectomy,Chronic Adrenal Insufficiency ,,,,,,,,,,,,,,,,,,,
,, Stroke resulting in permanent symptoms,Bariatric Surgery,Cardiac Pacemaker insertion,,,,,,,,,,,,,,,,,,,
,,Permanent Paralysis of Limbs,Percutaneous Transluminal Angioplasty of Renal Artery,Surgical removal of an eyeball,,,,,,,,,,,,,,,,,,,
,,Parkinson’s disease,Severe Progressive Supranuclear Palsy,Wilson's disease,,,,,,,,,,,,,,,,,,,
,,Primary (Idiopathic) Pulmonary Hypertension,Surgical Removal of One Kidney,Guillain Barre Syndrome (GBS),,,,,,,,,,,,,,,,,,,
,,End Stage Lung Failure,Total Glossectomy,Age Related Macular Degeneration,,,,,,,,,,,,,,,,,,,
,,Rabies,Budd–Chiari syndrome,Surgery for removal of Acoustic Neuroma,,,,,,,,,,,,,,,,,,,
,,End Stage Liver Failure,Carotid Angioplasty,Major Brain Surgery,,,,,,,,,,,,,,,,,,,
,,Angioplasty,Polycystic Kidney Disease,Complete Splenectomy,,,,,,,,,,,,,,,,,,,
,,Chronic Aplastic Anemia,Primary Biliary Cirhosis,Whipple procedure,,,,,,,,,,,,,,,,,,,
,,Cerebral Aneurysm with Specified Surgery,Cardiac Rupture,Loss of sight of one eye and loss of one limb,,,,,,,,,,,,,,,,,,,
,,Hemiplegia,Total Laryngectomy,Embolization of aquired AV fistula ,,,,,,,,,,,,,,,,,,,
,,Chronic Relapsing Pancreatitis,Cerebral Artery Bypass Surgery,Myoxomas,,,,,,,,,,,,,,,,,,,
