Eligibility Criteria,,
Minimum Entry Age,Day1,
Maximum Entry Age,Lifelong,
Maximum Renewal Age,Lifelong,
Age of Proposer,NA- Corporate,Proposer to be corporate
Cover Type,Individual/Floater/Multi Individual,
Tenure (in Years),Days/Months/1/ 2/ 3/ 4/ 5,
Policy Type,Name/Unnamed,
,,
,,
Risk Categories,,
Risk Class I,"Students, Housewives, Accountants, Doctors, Lawyers, Individuals working in Banking and Financial institutions, Administrative and managerial, teachers, Bankers, person engaged in Administrative, Secretarial and Managerial occupations. Shopkeepers, Salesmen, Commercial Travellers and persons employed in occupations of similar nature.
Builders, Contractors and Engineers engaged in superintending functions only.",
Risk Class II,"Paid drivers of Motor cars and Light Motor Vehicles and persons engaged in occupations of similar nature. Persons engaged in handling goods, chemicals, Grains elevator, farmers, shooting gallery, Motor Driving Instructor, Public transport, Construction works, Geologist, Surveyor for Oil companies, Heavy equipment Operators, Security Guards, Forestry, Civil Surveyors, Firemen, Photo Graphers, Offshore works, Persons engaged in Sports Duty, Film Show and shooting except as Stuntmen.",
Risk Class III,"Persons working in underground mines, explosives, magazines, workers involved in electrical installation with high tension supply. Circus personnel, persons engaged in activities like racing, horse back riding, big game hunting, Mountaineering, winter sports, skiing, ice hockey, ballooning, hand gliding, river rafting, polo, Stuntmen in film and persons engaged in occupations / activities of similar hazard.",
,,
