,,,,,,
Section #,Section name,Sub -Section ,Day 1,Day 2,New,
1,Personal Accident,1.1 Personal Accident,Day 1,-,Modified  ,
,,1.2 Accidental Hospitalisation,,-,-,
2,Critical Illness,,Day 1,-,Modified  ,
3,Hospital Cash,,Day 1,-,-,
4,Heart Cover - Fixed Benefit,,Day 1,-,Suppression- Already covered in CI,
5,Loan EMI cover ,,Day 1,-,Modified  ,
6,Cancer Indemnity,,-,Day 2,Suppression- Already covered in CI,
7,Heart Indemnity,,-,Day 2, Merged with Indemnity cover,
8,Major Illness Cover,,-,Day 2, Merged with Indemnity cover,
9,OPD Cover,,-,Day 2,Modified and NEW OPD Covers Added,
10,Cancer,,-,Day 2,Same as EMI Cover,
11,Loan Cover,,-,Day 2,Same as EMI Cover,
12,Indemnity,,,Day 2,NEW Addition,
,,,,,,
