Chronic Management OPD Grid ,,,,,,,
Condition(s),Category,GP Consults (tele),IM Consults,Super Specialist,Key Tests,Test Frequency,Health Coaching
Hypertension,Single,2,1,Cardiologist (1),"FPG, Lipid profile, Creatinine/eGFR, Urine ACR, ECG",Annual,"Nutritionist, Physiotherapist, Psychologist"
Type 2 Diabetes,Single,2,1,Endocrinologist (1),"HbA1c, FPG, Lipid profile, Creatinine/eGFR, Urine ACR, LFT, TSH",Annual,"Dietitian, Psychologist, Care Manager"
Dyslipidemia,Single,2,1,Cardiologist (1),"Lipid profile, FPG, TSH, Creatinine, ALT/AST (LFT)",Annual,"Dietitian, Physiotherapist"
Obesity,Single,2,1,Endocrinologist (1),"BMI/WC, FPG,HbA1c, Lipid profile, BP, LFT (ALT), TSH",Annual,"Dietitian, Psychologist, Physiotherapist"
HTN + T2D,Double,3,2,Cardiologist or Endocrinologist (1),"HbA1c, FPG, Lipid profile, Creatinine/eGFR, Urine ACR, ECG",Annual,Multidisciplinary team
HTN + Dyslipidemia,Double,3,2,Cardiologist (1),"FPG, Lipid profile, Creatinine/eGFR, Urine ACR, ECG",Annual,Multidisciplinary team
HTN + Obesity,Double,3,2,Cardiologist/Endocrinologist (1),"FPG, Lipid profile, Creatinine/eGFR, LFT, Urine ACR, BMI/WC, ECG",Annual,Multidisciplinary team
T2D + Dyslipidemia,Double,3,2,Endocrinologist (1),"HbA1c, FPG, Lipid profile, LFT, Creatinine/eGFR, Urine ACR",Annual,Multidisciplinary team
T2D + Obesity,Double,3,2,Endocrinologist (1),"BMI/WC, HbA1c, FPG, Lipid profile, LFT, Creatinine/eGFR, Urine ACR",Annual,Multidisciplinary team
Dyslipidemia + Obesity,Double,3,2,Cardiologist/Endocrinologist (1),"BMI/WC, FPG, Lipid profile, LFT, TSH",Annual,Multidisciplinary team
HTN + T2D + Dyslipidemia,Triple,4,2,Cardiologist/Endocrinologist (1),"HbA1c, FPG, Lipid profile, Creatinine/eGFR, Urine ACR, LFT",Biannual,Multidisciplinary team
HTN + T2D + Obesity,Triple,4,2,Cardiologist/Endocrinologist (1),"HbA1c, FPG, Lipid profile, Creatinine/eGFR, Urine ACR, LFT, BMI/WC",Biannual,Multidisciplinary team
HTN + Dyslipidemia + Obesity,Triple,4,2,Cardiologist/Endocrinologist (1),"FPG, Lipid profile, Creatinine/eGFR, Urine ACR, LFT, BMI/WC",Biannual,Multidisciplinary team
T2D + Dyslipidemia + Obesity,Triple,4,2,Endocrinologist (1),"HbA1c, FPG, Lipid profile, LFT, Creatinine/eGFR, Urine ACR, BMI/WC",Biannual,Multidisciplinary team
Sublimits on Treatments/Illness/Disease/Surgery/Medical Condition (Per Claim),,,,,,,
Sub - Limit (Amount in Rs),,,,,,,
Sl no,Surgeries,Min,Max,,,,
1,Cataract (Per eye),10% of SI Opted,90% of SI Opted,,,,
2,Cataract (Per person both eye),10% of SI Opted,90% of SI Opted,,,,
3,Cataract (Per family),10% of SI Opted,90% of SI Opted,,,,
4,Surgeries for Non-malignant Tumors/Cysts/Nodule/Polyp/Abscess,10% of SI Opted,90% of SI Opted,,,,
5,Stone in Urinary (Kidney)/Biliary System,10% of SI Opted,90% of SI Opted,,,,
6,Hernia (unilateral/Bilateral) Excluding cost of mesh,10% of SI Opted,90% of SI Opted,,,,
7,Appendicitis,10% of SI Opted,90% of SI Opted,,,,
8,Hysterectomy/Benign Prostate Hypertrophy/Fibroid Uterus,10% of SI Opted,90% of SI Opted,,,,
9,Any Joint Replacement,10% of SI Opted,90% of SI Opted,,,,
10,Piles/Fissures/Fistula,10% of SI Opted,90% of SI Opted,,,,
11,Ligament Tear,10% of SI Opted,90% of SI Opted,,,,
"*This is an indicative list, customized options with customized sublimits can be offered as per the specific requirements of the group",,,,,,,
,,,,,,,
,,,,,,,
Adult Vaccination List:,,,,,,,
Sl no,ADULT VACCINATIONS,,,,,,
1,Influenza       ,,,,,,
2,Pneumonia,,,,,,
3,Cervical Cancer,,,,,,
4,Hepatitis B,,,,,,
5,Typhoid,,,,,,
6,BCG,,,,,,
7,OPV + IPV 1,,,,,,
8,DPT,,,,,,
9,Haemophilus influenzae type B,,,,,,
10,Tetanus,,,,,,
11,Rota,,,,,,
12,MMR,,,,,,
13,Hepatitis A,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
List of Monitoring / Medical Devices,,,,,,,
1,Cardio‑Respiratory Monitoring Devices,,,,,,
,Blood Pressure Monitor / Sphygmomanometer (Manual or Digital),,,,,,
,Pulse Oximeter,,,,,,
,ECG Monitoring Device (Holter / Ambulatory ECG),,,,,,
,Cardiac Event Monitor,,,,,,
,Portable Oxygen Concentrator,,,,,,
,Oxygen Cylinder with regulator,,,,,,
,CPAP / BiPAP Machine,,,,,,
,Nebulizer (with accessories),,,,,,
,Peak Flow Meter,,,,,,
,"Spirometer (home‑use, where prescribed)",,,,,,
2, Diabetes & Metabolic Monitoring Devices,,,,,,
,Glucometer,,,,,,
,Continuous Glucose Monitoring (CGM) System,,,,,,
,Insulin Pump,,,,,,
,Insulin Pen with cartridges,,,,,,
,Ketone Testing Meter,,,,,,
,HbA1c Home Monitoring Device (if prescribed),,,,,,
,Lancets and Test Strips (where coverage includes consumables),,,,,,
3,Neurological & Sleep‑Related Devices,,,,,,
,EEG Monitoring Device (Portable / Ambulatory),,,,,,
,Sleep Apnea Monitoring Device,,,,,,
,Actigraphy Device (Sleep/Movement Monitoring),,,,,,
4,Orthopaedic & Mobility‑Assistance Devices,,,,,,
,Wheelchair (Manual / Motorized),,,,,,
,Walker / Rollator,,,,,,
,Walking Cane / Crutches,,,,,,
,"Orthopaedic Braces (Knee, Back, Cervical, Wrist, Ankle, Shoulder)",,,,,,
,Fracture Support / Splints,,,,,,
,Prosthetic Limbs,,,,,,
