Sr No.,List I,Sr No.,List II -  ITEMS THAT ARE TO BE INCLUDED IN ROOM CHARGES,Sr No.,LIST III - ITEMS THAT ARE TO BE INCLUDED IN PROCEDURE CHARGES,Sr No.,LIST IV - ITEMS THAT ARE TO BE INCLUDED IN COSTS OF TREATMENT
1,BABY FOOD,1,BABY CHARGES (UNLESS SPECIFIED / INDICATED),1,HAIR REMOVAL CREAM,1,ADMISSION / REGISTRATION CHARGES
2,BABY UTILITIES CHARGES,2,HAND WASH,2,DISPOSABLES RAZORS CHARGES (FOR SITE PREPARATIONS),2,HOSPITALIZATION FOR EVALUATION / DIAGNOSTIC PURPOSE
3,BEAUTY SERVICES,3,SHOE COVER,3,EYE PAD,3,URINE CONTAINER
4,BELTS / BRACES,4,CAPS,4,EYE SHEILD,4,BLOOD RESERVATION CHARGES AND ANTE NATAL BOOKING CHARGES
5,BUDS,5,CRADLE CHARGES,5,CAMERA COVER,5,BIPAP MACHINE
6,COLD PACK / HOT PACK,6,COMB,6,DVD CD CHARGES,6,CPAP / CAPD EQUIPMENTS
7,CARRY BAGS,7,EAU-DE-COLOGNE / ROOM FRESHENERS,7,GAUZE SOFT,7,INFUSION PUMP - COST
8,E-MAIL / INTERNET CHARGES,8,FOOT COVER,8,GAUZE,8,HYDROGEN PEROXIDE / SPIRIT / DISINFECTANTS ETC
9,FOOD CHARGES (OTHER THAN PATIENT'S DIET PROVIDED BY HOSPITAL),9,GOWN,9,WARD AND THEATRE BOOKING CHARGES,9,NUTRITION PLANNING CHARGES - DIETICIAN CHARGES DIET CHARGES
10,LEGGINGS,10,SLIPPERS,10,ARTHROSCOPY AND ENDOSCOPY INSTRUMENTS,10,HIV KIT
11,LAUNDRY CHARGES,11,TISSUE PAPER,11,MICROSCOPE COVER,11,ANTISEPTIC MOUTHWASH
12,MINERAL WATER,12,TOOTH PASTE,12,SURGICAL BLADES HARMONICSCALPEL SHAVER,12,LOZENGES
13,SANITARY PAD,13,TOOTH BRUSH,13,SURGICAL DRILL,13,MOUTH PAINT
14,TELEPHONE CHARGES,14,BED PAN,14,EYE KIT,14,VACCINATION CHARGES
15,GUEST SERVICES,15,FACE MASK,15,EYE DRAPE,15,ALCOHOL SWABS
16,CREPE BANDAGE,16,FLEXI MASK,16,X-RAY FILM,16,SCRUB SOLUTION / STERILLIUM
17,DIAPER OF ANY TYPE,17,HAND HOLDER,17,BOYLES APPARATUS CHARGES,17,GLUCOMETER & STRIPS
18,EYELET COLLAR,18,SPUTUM CUP,18,COTTON,18,URINE BAG
19,SLINGS,19,DISINFECTANT LOTIONS,19,COTTON BANDAGE,,
20,BLOOD GROUPING AND CROSS MATCHING OF DONOR'S SAMPLES,20,LUXURY TAX,20,SURGICAL TAPE,,
21,SERVICE CHARGES WHERE NURSING CHARGE ALSO CHARGED,21,HVAC,21,APRON,,
22,TELEVISION CHARGES,22,HOUSE KEEPING CHARGES,22,TORNIQUET,,
23,SURCHARGES,23,AIR CONDITIONER CHARGES,23,ORTHOBUNDLE GYNAEC BUNDLE,,
24,ATTENDANT CHARGES,24,IM IV INJECTION CHARGES,,,,
25,EXTRA DIET OF PATIENT (OTHER THAN THAT WHICH FORMS PART OF BED CHARGE),25,CLEAN SHEET,,,,
26,BIRTH CERTIFICATE,26,BLANKET / WARMER BLANKET,,,,
27,CERTIFICATE CHARGES,27,ADMISSION KIT,,,,
28,COURIER CHARGES,28,DIABETIC CHART CHARGES,,,,
29,CONVEYANCE CHARGES,29,DOCUMENTATION CHARGES / ADMINISTRATIVE EXPENSES,,,,
30,MEDICAL CERTIFICATE,30,DISCHARGE PROCEDURE CHARGES,,,,
31,MEDICAL RECORDS,31,DAILY CHART CHARGES,,,,
32,PHOTOCOPIES CHARGES,32,ENTRANCE PASS / VISITORS PASS CHARGES,,,,
33,MORTUARY CHARGES,33,EXPENSES RELATED TO PRESCRIPTION ON DISCHARGE,,,,
34,WALKING AIDS CHARGES,34,FILE OPENING CHARGES,,,,
35,OXYGEN CYLINDER (FOR USAGE OUTSIDE THE HOSPITAL),35,INCIDENTAL EXPENSES / MISC. CHARGES (NOT EXPLAINED),,,,
36,SPACER,36,PATIENT IDENTIFICATION BAND / NAME TAG,,,,
37,SPIROMETRE,37,PULSE OXYMETER CHARGES,,,,
38,NEBULIZER KIT,,,,,,
39,STEAM INHALER,,,,,,
40,ARMSLING,,,,,,
41,THERMOMETER,,,,,,
42,CERVICAL COLLAR,,,,,,
43,SPLINT,,,,,,
44,DIABETIC FOOTWEAR,,,,,,
45,KNEE BRACES (LONG / SHORT / HINGED),,,,,,
46,KNEE IMMOBILIZER / SHOULDER IMMOBILIZER,,,,,,
47,LUMBO SACRAL BELT,,,,,,
48,NIMBUS BED OR WATER OR AIR BED CHARGES,,,,,,
49,AMBULANCE COLLAR,,,,,,
50,AMBULANCE EQUIPMENT,,,,,,
51,ABDOMINAL BINDER,,,,,,
52,PRIVATE NURSES CHARGES - SPECIAL NURSING CHARGES,,,,,,
53,SUGAR FREE TABLETS,,,,,,
54,CREAMS POWDERS LOTIONS (TOILETRIES ARE NOT PAYABLE ONLY PRESCRIBED MEDICAL PHARMACEUTICALS PAYABLE),,,,,,
55,ECG ELECTRODES,,,,,,
56,GLOVES,,,,,,
57,NEBULISATION KIT,,,,,,
58,"ANY KIT WITH NO DETAILS MENTIONED (DELIVERY KIT, ORTHOKIT, RECOVERY KIT ETC)",,,,,,
59,KIDNEY TRAY,,,,,,
60,MASK,,,,,,
61,OUNCE GLASS,,,,,,
62,OXYGEN MASK,,,,,,
63,PELVIC TRACTION BELT,,,,,,
64,PAN CAN,,,,,,
65,TROLLY COVER,,,,,,
66,UROMETER URINE JUG,,,,,,
67,AMBULANCE,,,,,,
68,VASOFIX SAFETY,,,,,,
