OPD,,,,,
S. No.,Cover,Cover Description,Minimum Sum Insured(In Rs)/Limits,Maximum Sum Insured (In Rs)/Limits,Additional Details
1,Diagnostics,,1000,50 Lacs,"Option 1: Services through Company’s empanelled Provider 
Option 2: up to 10 tests per Insured basis indicative list  
Option 3: Basis select combination of tests
Option 4: Costs up to INR 50L 
Option 5: Cost per diagnostic test- upto INR 10,000
Option 5: Unlimited Diagnostic tests and Investigations
Option 6: Discount on availing the benefit through our/empanelled service providers mobile app/website
Option 7: Any possible reasonable combination of above 

Co-payment of up to 50% only for non-network
Deductible of up to INR 20,000 per policy for non-network
Deductible of up to 10 visits per policy for non-network
Franchise of up to  10 visits per policy for non-network"
2,Pharmacy,,1000,50 Lacs,"Prescription Based, Over the counter based pharmacies or Both 
Option 1: Services through Company’s empanelled Provider
Option 2: Costs up to INR 1L 
Option 3: Discount on availing the benefit through our/empanelled service providers mobile app/website

Co-payment of up to 50% only for non-network
Deductible of up to INR 20,000 per policy for non-network
Deductible of up to 10 visits per policy for non-network
Franchise of up to  10 visits per policy for non-network"
3,OPD Minor Procedures,,1000,50 Lacs,"Cashless or Reimbursement or both
Option 1: Services through Company’s empanelled Provider
Option 2: Costs up to INR 1L 
Option 3: Cost per treatment - upto INR 10,000
Option 4: Discount on availing the benefit through our/empanelled service providers mobile app/website

Co-payment of up to 50% only for non-network
Deductible of up to INR 20,000 per policy for non-network

"
4,Vaccinations ,,1000,50 Lacs,"Option 1: Services through Company’s empanelled Provider 
Option 2: up to 10 vaccinations  per Insured basis indicative list  
Option 3: Basis select combination of Vaccines
Option 4: Costs up to INR 1L 
Option 5: Cost per vaccine - upto INR 10,000
Option 6: Discount on availing the benefit through our/empanelled service providers mobile app/website 
Option 7: Any possible reasonable combination of above"
5,Consultation,"Anyone or Combination of the following can be opted under the cover :
1)Consultation
",1000,50 Lacs,"Cover Range Options
1. Illness and Accidents
2. Accident only
3. Ilnness only

Cover Limit Options:
1. Up to opted Sum Insured
2. Up to opted sum insured with x% co-pay, where x can be 1-50%

Network Option
1. Within Network
2. Outside Network
3. Both

Service Option
1. Cashless Only
2. Cashless and Reimbursement

Consultation Mode:
1. Virtual
2. Physical

Consultation Type:
1. GP
2. Specialist
3. Super Specialist

Consultation Count:
1. 1 to 10 50 and 
2. unlimited

Sublimit for each consultation:
up to ₹10,000

Deductible of up to INR 20,000 per policy for non-network
Deductible of up to 10 visits per policy for non-network
Franchise of up to  10 visits per policy for non-networ"
6,"Out-Patient treatment for Physiotherapy, Occupational Therapy and Speech Therapy",Covers Medical Expenses towards prescribed therapy,1000,"Rs 100,000","Limit options available:
1. Up to the Sum Insured
2.Up to the Sum Insured  with x% co-pay
(Where x can be any number from 1-50)

Network Option
1. Within Network
2. Outside Network
3. Both

Service Option
1. Cashless Only
2. Cashless and Reimbursement

Count of Physiotherapy Session:
upto 30

Sublimit per Physiotherapy Session:
upto INR 10,000"
7,Dental Expenses,Covers Medical Expenses towards dental treatments,Rs 1000,10 Lacs,"Any one or combination of the following can be opted under the cover
1. Class1 (Investigative and preventive treatment)
2. Class2 (Basic Restorative, Periodontal Treatment)
3.Class 3(Major Restorative and Orthodontic treatment)

Limit options available:
1.Up to the Sum Insured
2.Up to the Sum Insured  with x% co-pay
(Where x can be any number from 1-50)

Network Option
1. Within Network
2. Outside Network
3. Both

Service Option
1. Cashless Only
2. Cashless and Reimbursement"
8,Vision Expense,"Any one or combination of the following can be opted under the cover
1.Eye examination by an optometrist - Consultation
2. Diagnostics Prescription Glasses 
3. Pharmacy
4. Treatment for Refractive Error Correction (within +/- 4 to +/-7.5)

",Rs 1000,Rs 2 Lacs,"Limit options available:
1. Up to the Sum Insured
2.Up to the Sum Insured  with x% co-pay
(Where x can be any number from 10-20)

Network Option
1. Within Network
2. Outside Network
3. Both

Service Option
1. Cashless Only
2. Cashless and Reimbursement"
9,Child Vaccination,Covers vaccination expenses as per WHO recommendations for routine immunisation of child until 10 15 years of age,1000,Rs 2 Lacs,"Network Option
1. Within Network
2. Outside Network

Service Option
1. Cashless Only
2. Cashless and Reimbursement"
10,Animal and Snake Bite,OPD for Animal and snake bite on reimbursement basis,1000,"Rs 100,000",N.A.
